FOOD COMMODITY GROUP;FOOD COMMODITY TYPOLOGY;FOOD COMMODITY ITEM;Carbon footprint  (kg CO2 eq/kg or litre of food commodity);Type of source;Full Reference;Publication year;System Boundary  Distribution;Country;Region;Notes;Reported in other data summaries;Modification of original values 
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,705;EPD;Barilla. Environmental Product Declaration of Wasa multigrain, mehrkorn, surdeg flehrkorn, Registration number S-P-00382, Rev. 3, Approval date 2017.11.20, valid 3 years.;2017;EXPORTED to germany, austria, belgium;Germany;N Europe;wasa mehrkorn;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,707;EPD;Barilla. Environmental Product Declaration of Wasa Husman, Registration number S-P-00232, Rev.1, Approval date 2011.09.20, valid 3 years.;2011;DC;Sweden;N Europe;wasa husman;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,71;EPD;Barilla. Environmental Product Declaration of Wasa Light rye, integrale & delikatess, Registration number S-P-00381, Rev. 3, Approval date 2017.12.01, valid 3 years.;2017;EXPORTED to ITALY and central-east of europe;Germany;N Europe;wasa integrale;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,761;EPD;Barilla. Environmental Product Declaration of Wasa Frukost, Registration number S-P-00415, Rev. 2, Approval date 2016.10.24, valid 3 years.;2016;DC;Sweden;N Europe;wasa frukost;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,773;EPD;Barilla. Environmental Product Declaration of Wasa Havreknacke, Registration number S-P-00238, Rev. 2, Approval date 2013.08.07, valid 3 years.;2013;RDC;Sweden;N Europe;wasa havreknacke;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,777;EPD;Barilla. Environmental Product Declaration of Wasa crisp'n light 7 grains, Registration number S-P-00381, Rev. 3, Approval date 2017.11.20, valid 3 years.;2017;EXPORTED to USA;Germany;N Europe;wasa crisp'n light 7 grains;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,814;EPD;Barilla. Environmental Product Declaration of Wasa ragi original, Registration number S-P-00239, Rev. 2, Approval date 2013.07.02 valid 3 years.;2013;RDC;Sweden;N Europe;wasa ragi original;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,817;EPD;Barilla. Environmental Product Declaration of Wasa ragi original, Registration number S-P-00239, Rev. 1, Approval date 2010.09.20, valid 3 years.;2010;DC;Sweden;N Europe;wasa ragi original;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,879;EPD;Barilla. Environmental Product Declaration of Wasa multigrain, mehrkorn, surdeg flehrkorn, Registration number S-P-00382, Rev. 3, Approval date 2017.11.20, valid 3 years.;2017;EXPORTED to USA and Canada;Germany;N Europe;wasa multigrain;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,889;EPD;Barilla. Environmental Product Declaration of Wasa Light rye, integrale & delikatess, Registration number S-P-00381, Rev. 3, Approval date 2017.12.01, valid 3 years.;2017;EXPORTED to USA, CANADA;Germany;N Europe;wasa light rye;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,903;EPD;Barilla. Environmental Product Declaration of Wasa Havre and vitalitè, Registration number S-P-00238, Rev.3, Approval date 2017.11.20 valid 3 years.;2017;EXPORTED SPAIN and FRANCE;Sweden;N Europe;wasa vitalité;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,957;EPD;Barilla. Environmental Product Declaration of Wasa ragi original, Registration number S-P-00239, Rev. 1, Approval date 2010.09.20, valid 3 years.;2010;RDC;Sweden;N Europe;wasa ragi original;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;0,978;EPD;Barilla. Dichiarazione ambientale di prodotto applicata ai Cracker salati, non salati, integrali, cereali. Registration number S-P-00224, Rev. 4, Approval date 2018.06.15, valid 3 years.;2018;DC;Italy;Mediterranean area;sfoglia di grano integrali;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,036;EPD;Barilla. Environmental Product Declaration of Wasa Frukost, Registration number S-P-00415, Rev. 1, Approval date 2013.08.07, valid 3 years.;2013;DC;Sweden;N Europe;wasa frukost;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,172;EPD;Barilla. Environmental Product Declaration of Wasa Havreknacke, Registration number S-P-00238, Rev. 1, Approval date 2010.09.20, valid 3 years.;2010;DC;Sweden;N Europe;wasa havreknacke;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,236;EPD;Barilla. Environmental Product Declaration of Wasa Multi grain, Registration number S-P-00382, Rev. 2, Approval date 2013.05.22, valid 3 years.;2013;DC;Sweden;N Europe;wasa multigrain;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,312;EPD;Barilla. Environmental Product Declaration of Wasa Havreknacke, Registration number S-P-00238, Rev. 1, Approval date 2010.09.20, valid 3 years.;2010;RDC;Sweden;N Europe;wasa havreknacke;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,313;EPD;Barilla. Dichiarazione ambientale di prodotto applicata ai Granetti classici e integrali, Registration number S-P-00329, Rev. 2, Approval date 2016.04.12, valid 3 years.;2016;DC;Italy;Mediterranean area;granetti integrali;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,315;EPD;Barilla. Dichiarazione ambientale di prodotto applicata ai Cracker salati, non salati, integrali, cereali. Registration number S-P-00224, Rev. 4, Approval date 2018.06.15, valid 3 years.;2018;DC;Italy;Mediterranean area;sfoglia di grano cereali;this study;-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,376;EPD;Barilla. Environmental Product Declaration of Wasa Multi grain, Registration number S-P-00382, Rev. 2, Approval date 2013.05.22, valid 3 years.;2013;RDC;Sweden;N Europe;wasa multigrain;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,381;EPD;Barilla. Environmental Product Declaration of Wasa Crisp'n Light 7 grains, Registration number S-P-00380, Rev. 2, Approval date 2013.05.22, valid 3 years.;2013;DC;Sweden;N Europe;wasa crisp'n light 7 grains;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,389;EPD;Barilla. Environmental Product Declaration of Wasa Solruta Sesam, Registration number S-P-00240, Rev. 1, Approval date 2010.09.20, valid 3 years.;2010;DC;Sweden;N Europe;wasa solruta;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,429;EPD;Barilla. Environmental Product Declaration of Wasa Light rye Registration number S-P-00381, Rev. 2, Approval date 2013.05.22, valid 3 years.;2013;DC;Sweden;N Europe;wasa light rye;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,516;EPD;Barilla. Dichiarazione ambientale di prodotto applicata ai Granetti classici e integrali, Registration number S-P-00329, Rev. 1, Approval date 2012.12.07, valid 3 years.;2012;DC;Italy;Mediterranean area;granetti integrali;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,521;EPD;Barilla. Environmental Product Declaration of Wasa Crisp'n Light 7 grains, Registration number S-P-00380, Rev. 2, Approval date 2013.05.22, valid 3 years.;2015;RDC;Sweden;N Europe;wasa crisp'n light 7 grains;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRACKERS;WHOLEGRAIN CRACKERS;1,569;EPD;Barilla. Environmental Product Declaration of Wasa Light rye Registration number S-P-00381, Rev. 2, Approval date 2013.05.22, valid 3 years.;2013;RDC;Sweden;N Europe;wasa light rye;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,102;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate integrali;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,11;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate dorate;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,13;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate cereali;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,19;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate rustiche;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,318;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate malto d'orzo;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,471;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 3, Approval date 2016.12.20, valid 3 years.;2016;DC;Italy;Mediterranean area;fette biscottate dolcifette;this study;-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,501;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 2, Approval date 2013.02.14, valid 3 years.;2013;DC;Italy;Mediterranean area;fette biscottate integrali;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,507;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 2, Approval date 2013.02.14, valid 3 years.;2013;DC;Italy;Mediterranean area;fette biscottate dorate;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,645;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 2, Approval date 2013.02.14, valid 3 years.;2013;DC;Italy;Mediterranean area;fette biscottate cereali;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;CRISPBREAD;CRISPBREAD;1,739;EPD;Barilla. Dichiarazione ambientale di prodotto applicata alle Fette Biscottate dorate, integrali, malto d'orzo e cereali, Registration number S-P-00225, Rev. 2, Approval date 2013.02.14, valid 3 years.;2013;DC;Italy;Mediterranean area;fette biscottate malto d'orzo;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;DRESSING;KETCHUP;1,464;JOURNAL;Hilmer, E., & Lidell, N. (2012). Exploring Greenhouse Gas Emission Factors for UBC Produce Thandiwe Mweetwa Marena Sra Sarah Haimonot.;2012;RDC;Europe;Europe;-;this study;P+T
AGRICULTURAL PROCESSED;DRESSING;MAYONNAISE;2,04;CONFERENCE;Hetherington, A. C., McManus, M. C., & Gray, D. A. (2012, November). Carbon Foot-print Analysis and Life Cycle Assessment of Mayonnaise production. A comparison of their results and messages. In SETAC. University of Bath.;2012;RDC;Germany, Netherlands;N Europe;glass jar;this study;T
AGRICULTURAL PROCESSED;DRESSING;TEMPÈ;1,1;REPORT;Blonk, H., Kool, A., Luske, B., de Waart, S., & ten Pierick, E. (2008). Milieueffecten van Nederlandse consumptie van eiwitrijke producten. Gevolgen van vervanging van dierlijke eiwitten anno.;2008;RETAIL;Netherlands;N Europe;-;this study;-
AGRICULTURAL PROCESSED;EGG PASTA;EGG PASTA;2,413;EPD;De Cecco. Dichiarazione ambientale di prodotto: Pasta di semola di grano duro all'uovo De Cecco, Registration number S-P-00534, Rev. 3.2, Approval date 2017.05.15, valid 3 years.;2017;DC;Italy;Mediterranean area;-;this study;-
AGRICULTURAL PROCESSED;EGG PASTA;EGG PASTA;2,508;EPD;De Cecco. Dichiarazione ambientale di prodotto: Pasta di semola di grano duro all'uovo De Cecco, Registration number S-P-00534, Rev. 3.2, Approval date 2017.05.15, valid 3 years.;2017;DC;USA;N America;-;this study;-
AGRICULTURAL PROCESSED;EGG PASTA;EGG PASTA;3,151;EPD;De Cecco. Dichiarazione ambientale di prodotto: Pasta di semola di grano duro all'uovo De Cecco, Registration number S-P-00534, Rev. 2.1, Approval date 2014.03.16, valid 3 years.;2014;DC;Italy;Mediterranean area;-;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;EGG PASTA;EGG PASTA;3,333;REPORT;TESCO. Product Carbon Footprint Summary, Issued August 2012.;2012;STORE;UK;N Europe;-;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;EGG PASTA;EGG PASTA;4,547;EPD;De Cecco. Dichiarazione ambientale di prodotto: Pasta di semola di grano duro all'uovo De Cecco, Registration number S-P-00534, Rev. 2.1, Approval date 2014.03.16, valid 3 years.;2014;DC;USA;N America;-;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);APPLE JUICE (I);2,84;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);BLUEBERRY JUICE (I);3;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);CRANBERRY JUICE (I);2,88;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);FIG JUICE (I);3,2;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);KIWI JUICE (I);2,84;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);MANGO JUICE (I);2,96;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);PINEAPPLE JUICE (I);2,72;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE (imported ingredients);STRAWBERRY & BANANA JUICE (I);2,68;JOURNAL;Roibás, L., Rodríguez-García, S., Valdramidis, V. P., & Hospido, A. (2018). The relevance of supply chain characteristics in GHG emissions: The carbon footprint of Maltese juices. Food Research International, 107, 747–754.;2018;RETAILER;Malta;Mediterranean area;250ml pack, cultivated oversea & some in europe (main ingredients are shown only) pre-processed in europe and processed in malta;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE LOCAL;ORANGE JUICE;0,461;JOURNAL;Knudsen, M. T., de Almeida, G. F., Langer, V., de Abreu, L. S., & Halberg, N. (2011). Environmental assessment of organic juice imported to Denmark: a case study on oranges (Citrus sinensis) from Brazil. Organic Agriculture, 1(3), 167.;2011;IMPORTED FROM DENMARK;Brazil;S America;organic;this study;-
AGRICULTURAL PROCESSED;FRUIT JUICE LOCAL;PEAR JUICE;0,46;EPD;Valfrutta. Dichiarazione ambientale di prodotto applicata Al Nettare di pera Brik 200ml cartone open top 8 cluster x 6 brik, Registration number S-P-00578, Rev. 3, Approval date 2019.01.31, valid 3 years.;2019;DC;Italy;Mediterranean area;-;this study;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;BUCKWHEAT FLOUR;1,96;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
AGRICULTURAL PROCESSED;GRAIN FLOUR;DURUM WHEAT SEMOLINA;0,4;EPD;Molino Grassi. Dichiarazione ambientale di prodotto della semola di frumento duro biologica, Registration number S-P-00665, Rev. 1, Approval date 2015.02.06, valid 3 years.;2015;DC;Italy;Mediterranean area;organic;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;GRAIN FLOUR;GRAHAM FLOUR;0,47;EPD;"Lantmännen (2010b). "" Climate declaration for graham flour."" Retrieved 07/11/2013, from http://gryphon.environdec.com/data/files/6/9278/CD214SE.pdf.";2010;RDC;Sweden;N Europe;-;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;MAIZE FLOUR;1,31;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
AGRICULTURAL PROCESSED;GRAIN FLOUR;MILLET FLOUR;1,37;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
AGRICULTURAL PROCESSED;GRAIN FLOUR;OATMEAL FLOUR;0,69;EPD;"Virtanen, Y., S. Kurppa, M. Saarinen, J.-M. Katajajuuri, K. Usva, I. Mäenpää, J. Mäkelä, J. Grönroos and A. Nissinen (2011). ""Carbon footprint of food – approaches from national input–output statistics and a LCA of a food portion."" Journal of Cleaner Production 19(16): 1849-1856.";2012;RDC;Sweden;N Europe;-;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;OATMEAL FLOUR;0,74;REPORT;Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf;2009;RDC;UK;N Europe;-;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;OATMEAL FLOUR;0,87;EPD;"Villman, S. (2012c). ""climate declaration for Axa Oatmeal in bulk pack."" Retrieved 13/02/2015, from http://gryphon.environdec.com/data/files/6/8813/cd371se_lantmannen_havregryn_storkok_2012.pdf.";2012;RDC;Sweden;N Europe;-;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;OATMEAL FLOUR;1,01;EPD;Lantmännen Klimatdeklaration för havregryn, Registration number S-P-00147, Approval date 2013.12.04, valid 2 years.;2013;RDC;Sweden;N Europe;-;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;OATMEAL FLOUR;2,32;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
AGRICULTURAL PROCESSED;GRAIN FLOUR;SORGHUM FLOUR;1,33;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,327;EPD;Molino Grassi. Dichiarazione ambientale di prodotto della farina di frumento tenero tipo 00 biologica, Registration number S-P-00666, Rev. 2, Approval date 2018.06.14, valid 3 years.;2018;DC;Italy;Mediterranean area;organic;this study;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,36;EPD;Molino Grassi. Dichiarazione ambientale di prodotto della farina di frumento tenero tipo 00 biologica, Registration number S-P-00666, Rev. 1, Approval date 2015.02.06, valid 3 years.;2015;ITERNATIONAL DC;Italy;Mediterranean area;organic;BCFN (double pyramid 2016);-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,41;EPD;Biswas, W. K., Barton, L., & Carter, D. (2008). Global warming potential of wheat production in Western Australia: a life cycle assessment. Water and Environment Journal, 22(3), 206-216.;2008;RDC;Australia;Oceania;-;this study;P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,47;EPD;"Lantmännen (2012). "" Climate declaration for Kungsörnen plain flour bulk pack."" Retrieved 07/11/2013, from http://gryphon.environdec.com/data/files/6/9278/CD214SE.pdf.";2012;RDC;Sweden;N Europe;wheat plain flourbulk pack;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,47;EPD;"Lantmännen (2012). "" Climate declaration for Kungsörnen plain flour bulk pack."" Retrieved 07/11/2013, from http://gryphon.environdec.com/data/files/6/9278/CD214SE.pdf.";2012;RDC;Sweden;N Europe;wheat plain flourbulk pack;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,52;EPD;"Lantmännen (2008a). "" Climate declaration Kungsörnen Plain Flour."" Retrieved 07/11/2013, from http://gryphon.environdec.com/data/files/6/8822/CD148_kungsornen_plain_flour_2012.pdf.";2008;RDC;Sweden;N Europe;wheat - Flour, plain;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,52;EPD;"Lantmännen (2008a). "" Climate declaration Kungsörnen Plain Flour."" Retrieved 07/11/2013, from http://gryphon.environdec.com/data/files/6/8822/CD148_kungsornen_plain_flour_2012.pdf.";2008;RDC;Sweden;N Europe;wheat - Flour, plain;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,52;EPD;Pelletier, N., Arsenault, N., & Tyedmers, P. (2008). Scenario modeling potential eco-efficiency gains from a transition to organic agriculture: life cycle perspectives on Canadian canola, corn, soy, and wheat production. Environmental management, 42(6), 989-1001.;2008;RDC;Canada;N America;-;this study;P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,52;REPORT;Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf;2009;RDC;UK;N Europe;Wheat – Milling;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,54;EPD;Biswas, W. K., Graham, J., Kelly, K., & John, M. B. (2010). Global warming contributions from wheat, sheep meat and wool production in Victoria, Australia–a life cycle assessment. Journal of Cleaner Production, 18(14), 1386-1392.;2010;RDC;Australia;Oceania;-;this study;P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,63;REPORT;Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf;2009;RDC;Europe;Europe;Wheat – Milling;Clune et al 2017 database;-
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,716;JOURNAL;Xu, X., Y. Lan. A comparative study on carbon footprints between plant- and animal-based foods in China, J Clean Prod 112:251-2592, 2016.;2016;RDC;China;Asia;-;BCFN (double pyramid 2016);P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,75;EPD;Achten, W. M., & Van Acker, K. (2016). EU?Average Impacts of Wheat Production: A Meta?Analysis of Life Cycle Assessments. Journal of industrial ecology, 20(1), 132-144.;2016;RDC;Europe;Europe;-;this study;P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;0,79;EPD;Achten, W. M., & Van Acker, K. (2016). EU?Average Impacts of Wheat Production: A Meta?Analysis of Life Cycle Assessments. Journal of industrial ecology, 20(1), 132-144.;2016;RDC;Europe;Europe;-;this study;P+T
AGRICULTURAL PROCESSED;GRAIN FLOUR;WHEAT FLOUR;1,07;JOURNAL;Xu, Z., Xu, W., Zhang, Z., Yang, Q., & Meng, F. (2017). Measurement and evaluation of carbon emission for different types of carbohydrate-rich foods in china. Chemical Engineering Transactions, 61, 409-414.;2017;LOCAL AND REGIONAL DISTRIBUTION;China;Asia;-;this study;P
